id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
6611,54,153964,0,414,224,418,357,0,0,0,0,6887.6
4756,32,153810,9259,374,85,112,76,52,27,4,4,6245.57
6316,73,241747,18492,371,206,1270,1199,15,11,95,93,10713.36
6378,54,196858,0,28,8,290,235,0,0,0,0,3293.81
5551,4,44,0,0,0,0,0,0,0,0,0,0
6440,41,157804,10783,94,23,512,442,0,0,60,58,7857.39
5453,8,3388,6584,12,1,13,8,13,7,7,4,18.21
6369,7,1138,0,7,3,8,8,0,0,0,0,18010.89
6480,81,165903,5035,399,143,289,206,0,0,12,10,7697.02
6373,14,6464,44,28,10,20,15,0,0,0,0,24683.15
6534,10,7064,0,22,2,4,4,0,0,0,0,7352.8
6535,9,5,21,0,0,0,0,0,0,0,0,0
6371,26,2014,120,2,2,0,0,0,0,0,0,0
6384,37,101615,0,255,113,217,196,0,0,0,0,12077.44
6317,60,432808,11093,1741,589,1444,1179,15,8,57,55,12171.28
6318,14,15418,1553,68,14,21,21,24,1,12,12,3542.0
6333,14,24086,17999,66,10,7,4,25,3,7,3,25372.32
6374,48,112359,7240,214,63,265,225,1,0,18,18,2821.32
6320,53,315969,12803,1264,303,322,271,20,16,36,34,9440.31
5530,11,4,0,0,0,0,0,0,0,0,0,0
3384,10,4745,6898,2,0,28,26,4,0,37,35,13611.99
3169,17,30020,9468,91,15,49,38,16,3,5,3,23754.17
2549,31,75614,3043,309,103,18,12,2,0,2,2,16379.44
4070,19,25894,9483,25,10,136,109,12,3,25,22,10957.39
5635,9,9475,1329,11,10,29,24,0,0,6,6,10087.33
6377,17,10938,14,70,18,15,14,0,0,0,0,2556.8
3459,1,5250,0,14,2,25,14,0,0,0,0,9127.72
6329,117,104534,6819,151,40,157,120,15,3,9,9,14214.99
6375,146,322139,12062,621,172,578,499,0,0,41,36,17011.74
6332,35,252055,10743,389,137,183,128,6,2,6,4,14548.13
5052,20,31837,0,98,42,54,48,0,0,0,0,9046.1
6335,3,279,0,0,0,0,0,0,0,0,0,0
