id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7625,50,54505,18637,288,187,89,39,70,44,62,44,0.66
3213,3,2843,0,0,0,0,0,1,0,1,0,0.41
7608,29,71023,21242,147,72,73,17,148,25,116,8,0.72
7237,165,172128,41627,479,190,147,53,177,62,129,43,0.46
7704,45,30135,29979,74,117,27,68,62,12,61,11,0.98
6448,73,165670,40858,655,158,201,47,157,19,75,7,0.75
7626,36,195059,56102,686,198,249,67,345,33,258,28,0.65
7631,18,16498,0,88,0,46,0,20,0,20,0,0.97
4211,2,7202,0,5,0,1,0,14,0,8,0,0.78
3201,15,8886,0,34,0,2,0,31,0,28,0,0.45
6769,8,3311,2151,4,10,1,3,1,1,1,1,0.98
7612,34,9566,24269,2,110,0,57,52,62,32,62,0.77
6457,190,139374,23531,345,158,91,19,134,17,98,4,0.46
4201,32,115635,48342,616,230,258,119,150,21,115,19,0.81
6463,142,196409,39391,1230,218,388,75,180,16,114,13,0.83
7693,25,81188,42369,345,139,125,31,47,16,28,12,0.84
7611,46,150766,37422,757,121,295,51,290,55,210,31,0.53
7629,5,23,0,0,0,0,0,0,0,0,0,1
7609,26,27173,5831,104,58,77,31,21,18,18,18,0.86
7606,32,138898,65704,388,330,156,100,156,30,106,25,0.76
7627,2,0,0,0,0,0,0,0,0,0,0,1
4491,6,29,5551,0,17,0,4,0,7,0,7,1
7613,22,7985,10549,11,36,6,13,21,20,17,19,0.56
7607,41,85804,22566,502,237,227,47,65,14,44,14,0.67
7605,29,174251,39283,599,148,206,26,150,48,76,23,0.48
7601,41,177203,75133,665,177,160,31,172,53,105,21,0.66
7610,36,70931,22307,247,176,79,40,104,26,72,25,0.56
7602,30,137680,52087,602,199,200,64,159,108,87,82,0.8
7603,32,137169,42899,529,173,164,26,144,17,91,13,0.71
4483,29,39853,16037,107,123,23,71,80,34,59,34,0.93
4226,21,109184,12097,401,31,121,12,177,6,120,2,0.55
7628,192,337497,61928,1827,343,1035,127,419,47,328,42,0.46
7604,26,36832,11118,152,96,58,37,51,0,33,0,0.7
