id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4139,86,138333,10183,1565,359,226,146,89,10,26,16,138510.86
3094,57,52675,12461,705,460,180,152,248,76,8,4,148980.8
4136,53,24005,6966,167,57,342,325,283,101,218,218,46183.79
4150,110,88413,27981,1493,740,449,390,478,68,108,100,98554.68
4132,75,84312,10992,836,331,464,396,145,9,84,47,87234.23
4130,90,63194,17515,570,279,165,125,326,108,76,76,152422.57
4152,119,79719,11952,678,386,148,107,182,23,27,20,108426.82
4138,118,147042,14843,2912,1682,1428,1218,410,42,11,11,60868.71
4160,190,138743,28964,2315,1109,644,562,797,74,28,22,246970.49
1062,2,51,0,0,0,2,0,0,0,0,0,140364.11
4154,76,66056,9563,596,217,362,272,132,17,17,10,197824.96
4424,84,53860,15583,741,431,682,574,370,65,83,55,161191.91
4123,50,63510,6886,1266,356,162,127,112,4,25,20,105513.22
4131,54,51027,9428,450,226,279,248,182,38,67,59,112071.27
4125,79,108911,17194,1289,491,243,199,298,30,83,67,117375.69
4128,99,99078,19676,1459,534,1156,1010,425,86,34,31,118698.3
4161,98,95672,12527,1644,327,199,146,293,16,7,4,81368.12
3788,7,2408,0,24,30,5,0,0,0,0,0,573.04
4422,89,79465,13938,1107,435,1186,1167,241,26,33,33,159140.83
4135,103,57712,11791,577,305,262,204,184,35,21,21,91034.56
4141,2,1125,0,28,27,3,3,0,0,0,0,17163.54
1061,2,7,0,0,0,0,0,0,0,0,0,0
4155,98,108895,20135,2181,1086,6132,6025,664,55,35,33,51201.01
4157,55,44444,9804,251,147,1358,1184,100,23,103,100,34574.19
1059,16,61,0,0,0,3,0,0,0,0,0,104371.62
4338,6,118,0,4,0,0,0,0,0,0,0,0
4162,153,110618,12572,2050,472,540,411,231,8,18,15,127553.22
4133,15,3265,342,66,56,46,44,0,0,0,0,269430.93
4126,46,32394,11247,335,263,237,218,228,63,29,29,124415.99
4146,65,87232,12975,1246,274,607,581,321,17,36,8,41002.3
4164,1,607,0,0,0,12,10,0,0,0,0,138964.66
4153,104,106350,13548,1227,457,325,253,255,11,10,8,106732.14
4147,34,20148,674,443,288,139,135,5,0,0,0,129536.35
4144,79,80439,13240,1147,529,258,180,290,28,19,18,59060.87
4165,38,26848,4660,210,113,142,123,70,15,13,13,216529.88
4148,65,64658,15940,952,799,870,833,327,80,69,62,309142.19
4124,65,67817,8615,993,344,188,134,222,11,19,9,48667.57
4129,93,75869,12872,1412,545,187,140,355,17,25,19,70055.97
4127,93,78079,16797,1140,537,415,351,478,41,29,24,153438.22
4140,67,86031,7687,913,434,448,338,104,8,53,49,77189.83
4477,70,63080,18316,839,547,366,306,281,53,27,24,139705.21
1064,58,6,0,0,0,1,0,0,0,0,0,39439.75
4254,30,33184,1691,534,290,176,146,39,18,6,6,122474.15
4151,103,67900,9868,821,455,203,178,138,23,4,2,77380.38
4137,122,120865,20395,1858,724,1158,1016,420,42,90,72,71000.13
4143,99,60227,11529,585,333,384,352,185,32,32,22,74699.2
4476,115,75905,12816,1643,743,167,145,318,8,8,2,104730.39
1168,78,104,0,0,0,1,1,0,0,0,0,140456.78
3076,3,134,0,0,0,0,0,0,0,0,0,0
1063,2,50,0,0,0,1,0,0,0,0,0,140312.7
4149,72,60402,16918,787,447,490,431,300,39,23,20,81031.38
4134,79,64301,25418,753,467,302,265,339,116,35,34,94753.88
4145,75,83275,13772,1204,476,182,141,261,40,23,22,67711.57
4163,147,129417,10968,2440,1183,234,182,255,28,34,19,76432.47
1407,39,0,0,0,0,0,0,0,0,0,0,0
4159,70,29091,5826,448,102,128,97,104,11,10,5,175477.83
