id_user,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24
2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
6058,-3,3,-3,-3,3,3,2,3,2,1,3,3,3,2,3,3,3,3,3,-3,2,2,3,2
3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6965,-1,2,1,1,3,2,2,2,2,2,2,3,3,1,2,2,0,2,3,2,2,2,3,2
6964,-2,0,-1,0,0,-1,-2,1,1,3,1,3,1,0,1,3,0,3,3,-1,1,0,0,0
6963,2,3,3,0,3,3,3,3,3,2,3,3,3,1,3,3,3,2,3,3,3,2,3,2
6738,-2,1,-1,-1,0,1,-1,-1,1,1,1,2,1,-3,-1,-1,-2,1,1,1,-2,-1,-1,-2
6771,1,-2,-3,-2,3,1,1,1,3,2,2,3,2,3,2,3,3,3,2,-1,3,1,2,1
6962,-1,-2,-2,-1,3,0,-2,3,2,3,3,0,2,2,2,0,2,2,3,2,1,1,1,1
6960,-2,2,-2,-2,2,2,2,2,2,1,2,2,2,1,2,2,1,0,2,-2,2,2,2,2
6959,-3,0,-3,-3,3,-3,-1,3,3,1,3,-3,3,3,3,3,3,3,3,-3,3,3,3,3
5013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
5967,-1,2,2,1,2,2,2,3,3,2,1,3,3,2,2,2,3,3,3,1,3,2,3,2
6772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6948,-3,1,-3,-1,-1,2,-2,3,1,-1,-2,3,3,2,1,2,0,1,3,1,2,-1,3,-1
6947,2,2,2,1,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,-2,1,1,1,3
6000,1,1,0,-2,0,0,-1,1,2,2,1,1,3,2,2,3,2,3,3,2,2,3,2,3
6946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6944,1,3,1,2,2,1,2,2,3,1,2,2,3,3,3,3,1,1,1,-2,2,1,2,1
6943,-3,-2,-3,-2,1,2,-1,1,3,1,1,3,3,1,1,3,-1,3,1,1,3,1,3,1
6930,1,3,0,0,1,-1,-3,2,3,-3,1,3,2,-2,3,1,0,1,3,2,0,3,1,3
6924,-3,-1,-2,-1,2,3,2,1,2,2,-1,2,2,-1,0,0,0,2,2,-2,0,-1,-1,-2
6867,1,3,3,2,1,2,2,2,3,2,1,1,2,2,1,2,2,3,0,2,1,2,2,3
6866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5977,-3,3,-1,-1,3,2,2,3,2,2,3,3,3,3,3,3,2,2,3,-2,2,2,2,2
6865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6862,-3,2,-3,-3,3,2,2,3,2,3,3,0,2,1,3,2,0,0,0,0,1,0,1,1
6830,0,1,-2,-2,2,2,3,2,2,1,1,2,3,0,2,2,1,2,2,1,3,2,3,3
6861,-2,2,0,-2,3,2,-1,1,2,2,2,2,2,2,2,2,2,3,2,-1,2,2,1,2
6860,-3,1,-2,0,2,1,2,2,2,1,2,3,3,1,2,2,0,1,1,-1,0,0,1,0
6859,0,1,-2,0,0,1,0,2,2,2,0,1,2,2,3,2,2,2,2,2,0,0,2,0
6858,0,3,1,2,1,0,-1,2,2,3,3,1,3,3,3,2,-1,-1,2,-2,1,0,1,-1
6857,-3,1,-3,-3,3,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,0,1,-1
6856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6854,-3,3,-3,-2,3,1,-2,3,3,2,3,1,3,1,3,3,3,2,2,-2,3,3,3,2
6853,-3,3,-1,-2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,-3,3,3,2,3
6852,-1,1,1,-1,1,1,1,2,1,2,3,2,3,1,2,2,0,1,1,-2,2,2,1,2
6851,-3,0,-3,-3,3,3,2,2,2,3,2,2,3,2,3,3,0,2,2,-3,3,3,3,2
6849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6848,-1,1,-1,0,2,2,0,1,1,2,2,1,0,-1,1,1,0,0,2,-1,2,2,2,2
6840,0,1,-1,1,1,2,2,2,3,2,3,3,1,0,1,1,2,1,3,1,1,1,1,1
6839,1,1,-1,-1,3,3,1,2,3,3,3,3,3,2,3,2,1,3,3,2,3,3,3,3
6836,-2,0,-2,-2,2,1,0,1,1,-1,-1,1,2,1,1,2,1,-2,2,-2,-1,2,1,2
6837,-1,3,3,-1,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,1,1,1,2,2
6835,3,3,-3,0,-3,-3,-3,-3,-3,1,-3,-3,1,1,2,1,3,3,3,3,-1,-1,-3,1
6834,-1,2,-2,0,3,3,1,2,2,2,2,3,3,2,3,3,2,3,3,1,2,2,3,2
6829,-3,0,-3,-2,3,3,2,1,3,2,2,3,3,1,3,3,3,-1,2,-1,3,1,-1,2
6831,0,1,0,0,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2
6832,-3,3,-3,-3,3,3,2,3,1,3,1,3,3,3,3,3,0,0,3,-3,2,3,3,3
6833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6825,1,3,0,-1,1,3,0,0,1,1,2,2,1,-1,3,3,1,1,1,1,1,3,2,1
6826,1,2,3,-1,2,2,3,2,2,2,2,2,2,2,2,3,0,1,2,0,2,1,2,0
6821,0,0,-3,-2,2,3,2,2,3,1,1,3,1,0,2,2,-1,3,3,-1,0,1,1,-1
6824,0,1,-2,-3,3,3,2,1,1,0,3,0,1,1,1,2,0,0,2,-3,1,2,1,1
6823,0,2,0,0,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,1,2,1,2,1
6827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6820,-2,0,0,0,2,3,2,1,1,2,1,1,0,0,1,0,1,1,1,-1,0,0,-1,0
6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6817,-2,-1,-1,1,2,1,-1,1,2,2,1,1,2,2,2,2,2,3,3,1,1,1,1,1
6819,1,3,-1,-1,2,3,-2,1,1,3,2,3,3,1,1,-1,-1,2,3,1,2,1,1,-1
6818,-3,0,-3,-3,3,2,-1,3,3,3,2,2,3,3,2,1,-2,3,0,-3,-2,-3,0,-3
6815,-3,1,-3,0,3,3,1,3,3,1,3,3,3,0,3,3,0,-1,3,0,3,3,3,3
6816,-3,3,-3,-1,3,3,-3,0,2,2,3,3,3,0,0,3,3,3,3,-2,2,2,1,3
6814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6813,3,3,2,-1,3,1,-1,3,3,3,2,3,2,1,3,2,3,3,3,-1,3,3,3,3
6812,0,3,1,0,2,2,1,2,2,3,2,1,1,0,1,2,0,0,1,-1,2,1,1,1
6798,-2,1,-2,-2,2,2,1,2,3,2,2,3,2,1,2,1,1,2,2,-1,2,3,1,2
6809,-2,3,-2,-2,2,3,2,3,2,3,2,2,3,2,2,1,3,1,2,-1,0,0,1,-1
6811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6806,-2,1,-1,-1,1,1,3,1,2,1,2,3,2,2,1,2,0,1,3,0,0,1,3,1
6807,-2,1,-1,-1,3,1,1,3,1,2,1,1,2,1,2,1,2,0,1,1,0,0,1,0
