id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,MA
5949,10.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.70,0.0,0.00
5816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6104,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.7,8.14,0.0,0.00
1193,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.6,9.52,0.0,0.00
6132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6066,10.0,4.3,1.5,0.0,3.3,0.0,0.0,0.0,0.83,0.0,0.00
3733,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6106,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.3,9.86,0.0,0.00
6068,10.0,10.0,10.0,5.6,8.3,10.0,10.0,9.3,9.05,0.0,0.00
5678,10.0,0.0,4.5,5.0,10.0,10.0,10.0,10.0,8.30,0.0,0.00
6092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
2950,10.0,10.0,0.0,7.2,10.0,1.8,0.0,0.0,3.32,0.0,0.00
5654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
5087,10.0,7.4,4.0,6.7,9.4,0.0,0.0,0.0,2.91,0.0,0.00
6133,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
3241,9.4,10.0,10.0,7.8,0.6,1.2,0.0,0.0,2.69,0.0,0.00
6107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6154,10.0,10.0,7.5,3.3,10.0,10.0,0.0,0.0,4.94,10.0,0.00
4861,8.8,9.1,7.0,6.7,10.0,9.4,8.1,7.3,8.26,0.0,0.00
3258,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
5792,6.3,4.9,6.2,2.8,8.3,0.0,0.0,0.0,2.22,0.0,0.00
4025,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6105,7.5,10.0,10.0,9.4,8.9,10.0,9.6,1.3,7.95,0.0,0.00
4741,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.60,0.0,0.00
6070,10.0,10.0,10.0,10.0,7.8,1.8,2.5,0.0,4.57,0.0,0.00
3581,10.0,10.0,10.0,10.0,1.7,10.0,9.6,1.3,7.07,0.0,0.00
4032,10.0,10.0,10.0,10.0,10.0,7.6,6.9,3.3,7.56,0.0,0.00
6186,0.0,8.3,10.0,1.1,10.0,10.0,10.0,10.0,8.70,0.0,0.00
6067,10.0,10.0,10.0,9.4,6.7,10.0,10.0,7.3,8.94,0.0,0.00
6071,10.0,8.7,9.0,7.8,7.8,2.4,3.1,0.0,4.36,0.0,0.00
1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
5113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
2927,10.0,9.1,1.5,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.00
5012,10.0,10.0,10.0,0.0,2.2,0.0,0.0,0.0,1.63,0.0,0.00
4711,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
5724,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.7,0.34,0.0,0.00
6069,6.3,10.0,10.0,10.0,10.0,8.8,0.0,7.3,7.22,0.0,0.00
6139,10.0,10.0,10.0,9.4,1.7,0.0,0.0,0.0,2.81,10.0,0.00
6072,10.0,10.0,10.0,7.8,9.4,9.4,10.0,7.3,8.97,0.0,0.00
