id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,MA
6015,0.0,10.0,10.0,7.2,9.4,9.4,10.0,8.0,9.03,0.0,0.00
6178,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.00
6007,10.0,9.6,6.2,5.6,10.0,9.4,7.5,10.0,8.51,0.0,0.00
6004,8.8,10.0,9.5,2.8,5.0,8.8,9.4,4.7,6.92,0.0,0.00
6006,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
5668,0.0,0.0,2.0,6.5,0.0,0.0,0.0,0.0,1.00,0.0,0.00
6009,1.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.00
6216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6018,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6002,0.0,0.0,6.0,4.4,0.0,9.4,10.0,8.7,6.61,0.0,0.00
5651,9.4,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.00
1071,1.3,0.4,1.0,1.7,1.1,0.6,2.5,1.3,1.35,0.4,0.00
1969,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6014,10.0,10.0,10.0,9.4,10.0,10.0,10.0,9.3,9.78,0.0,0.00
4359,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6086,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.00
4381,10.0,10.0,10.0,6.7,10.0,10.0,10.0,10.0,9.56,0.0,0.00
4365,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6193,7.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.00
6100,0.0,0.0,4.0,0.0,10.0,8.4,0.0,9.3,5.14,8.4,0.00
5952,0.0,0.0,0.0,1.1,0.0,0.6,0.0,0.0,0.27,0.0,0.00
6016,0.0,10.0,10.0,5.6,10.0,10.0,10.0,7.3,8.87,0.0,0.00
6038,9.4,0.9,2.0,0.0,3.3,8.2,10.0,0.0,4.27,0.0,0.00
1607,10.0,10.0,10.0,8.9,3.3,7.6,5.6,10.0,7.60,0.0,0.00
6008,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.00
6141,4.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.00
6011,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6010,8.4,9.6,9.5,7.2,10.0,8.3,9.4,9.3,8.97,0.0,0.00
6108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6005,9.4,5.7,9.5,4.4,10.0,8.8,10.0,10.0,8.69,0.0,0.00
5853,10.0,10.0,10.0,7.8,5.4,8.9,9.4,9.3,8.61,0.0,0.00
6012,9.7,9.6,10.0,6.7,10.0,0.0,10.0,9.3,7.39,0.0,0.00
5440,10.0,8.3,5.5,6.1,0.6,0.0,0.0,0.0,1.81,0.0,0.00
6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6013,1.9,8.7,2.0,5.6,0.0,0.0,0.0,0.0,1.46,0.0,0.00
2504,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.00
