id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,MA
6102,10.0,10.0,10.0,8.3,5.0,3.1,6.0,10.0,6.93,10.0,0.00
6057,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.60,0.0,0.00
6137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6262,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.00,0.0,0.00
4433,8.8,6.5,7.5,0.0,0.6,0.0,0.0,0.0,1.01,0.0,0.00
6044,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
2618,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.08,0.0,0.00
3977,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.00
6055,8.8,10.0,0.0,1.7,0.0,0.0,0.0,0.0,0.89,0.0,0.00
6046,5.0,8.3,7.0,0.0,7.4,1.2,0.0,0.0,2.25,0.0,0.00
6056,0.6,10.0,10.0,5.9,10.0,10.0,8.1,9.3,8.93,0.0,0.00
6062,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
6063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6064,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.3,9.86,0.0,0.00
6048,9.7,10.0,10.0,7.8,3.9,5.1,0.0,0.0,3.91,0.0,0.00
6101,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
4670,0.6,10.0,10.0,10.0,10.0,8.8,10.0,10.0,9.76,0.0,0.00
6060,10.0,10.0,8.5,7.8,7.2,8.8,1.9,10.0,7.37,10.0,0.00
4338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6058,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
4674,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6045,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
5559,8.1,5.2,4.5,0.6,0.0,0.0,0.0,0.0,0.73,0.0,0.00
6156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6181,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.00
6099,10.0,10.0,5.0,1.1,2.2,9.4,9.4,6.7,6.54,10.0,0.00
1168,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.6,9.92,0.0,0.00
6113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6059,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
6053,6.3,7.4,8.0,7.2,10.0,8.8,10.0,10.0,9.08,0.0,0.00
6047,10.0,10.0,10.0,10.0,9.4,8.2,8.8,6.0,8.52,0.0,0.00
6097,10.0,10.0,10.0,10.0,10.0,9.4,10.0,10.0,9.88,0.0,0.00
6043,0.0,10.0,8.5,7.8,6.7,8.2,1.9,10.0,7.19,10.0,0.00
4711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
5478,6.3,9.1,3.0,0.0,6.7,2.9,0.0,10.0,4.28,10.0,0.00
3229,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
6091,0.0,2.2,0.0,0.0,1.7,2.9,3.1,2.7,2.11,0.0,0.00
6049,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
6042,4.4,10.0,10.0,9.4,7.2,8.2,10.0,10.0,9.19,0.0,0.00
6054,9.1,7.0,4.5,1.7,0.0,6.5,10.0,10.0,6.29,10.0,0.00
6157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00
4857,8.8,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.00
6052,10.0,10.0,10.0,10.0,9.4,10.0,10.0,8.7,9.66,0.0,0.00
6051,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
2431,10.0,3.9,10.0,10.0,8.9,3.5,6.3,6.0,6.61,10.0,0.00
6050,6.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
6084,1.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.00
