id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4325,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,6.7,10.0,8.8,10.0,7.5,10.0,2.5,8.87,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.17
4725,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,5.0,0.0,5.0,5.0,10.0,0.0,5.0,6.7,5.56
3981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4713,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.1,0.0,9.21,5.0,10.0,8.4,0.0,5.0,0.0,5.0,6.7,4.88
4666,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.6,10.0,9.91,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,4.17
4726,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.0,5.0,5.0,10.0,5.0,5.0,3.3,5.27
4678,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.2,10.0,10.0,10.0,0.0,9.28,10.0,10.0,10.0,10.0,10.0,0.0,5.0,0.0,7.92
4671,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.7,10.0,1.3,10.0,1.3,10.0,0.0,7.95,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.17
4730,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,0.0,10.0,5.0,10.0,0.0,7.08
4261,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,8.33
