id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4777,10.0,10.0,5.8,10.0,10.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,10.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,1.66
3965,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2861,6.9,10.0,10.0,8.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4778,10.0,10.0,7.5,10.0,10.0,10.0,0.0,10.0,0.0,8.3,0.0,10.0,0.0,9.2,0.0,6.33,10.0,10.0,10.0,6.7,10.0,10.0,10.0,0.0,8.34
4756,10.0,10.0,0.0,2.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.75
4773,10.0,10.0,10.0,1.7,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
4758,10.0,10.0,6.7,10.0,10.0,10.0,7.5,10.0,0.0,10.0,8.8,10.0,0.8,9.2,0.0,7.53,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
4769,10.0,10.0,10.0,10.0,10.0,8.3,1.3,10.0,3.3,10.0,10.0,10.0,0.8,9.2,0.0,7.53,10.0,10.0,10.0,6.7,10.0,6.7,6.7,0.0,7.51
3746,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.2,10.0,0.0,9.28,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
4759,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,3.3,10.0,10.0,10.0,1.4,9.2,0.0,8.09,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
3627,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4764,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4752,10.0,10.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4763,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,3.95,10.0,0.0,3.3,3.3,10.0,6.7,6.7,10.0,6.25
4844,10.0,0.0,0.0,1.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,10.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,2.36
4762,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,3.3,10.0,10.0,10.0,0.8,9.2,0.0,8.05,10.0,10.0,10.0,3.3,10.0,10.0,10.0,0.0,7.91
4772,10.0,2.7,7.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
4893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.3,0.0,10.0,10.0,0.8,9.2,0.0,2.89,0.0,10.0,6.7,6.7,10.0,10.0,6.7,0.0,6.26
4755,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
