id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4835,10.0,10.0,10.0,10.0,10.0,3.3,10.0,5.8,10.0,5.0,10.0,1.7,10.0,10.0,10.0,8.27,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,7.50
105,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4831,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.76,5.0,5.0,10.0,0.0,10.0,5.0,5.0,10.0,6.25
3805,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.76,0.0,5.0,10.0,5.0,10.0,5.0,5.0,3.3,6.14
4834,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,10.0,3.3,10.0,10.0,3.8,0.0,0.0,7.56,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.19
4837,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4826,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.3,10.0,8.3,10.0,4.2,7.5,9.7,10.0,9.14,10.0,10.0,10.0,10.0,10.0,5.0,0.0,0.0,6.56
4958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4839,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3753,5.0,10.0,6.7,8.3,1.3,10.0,1.3,2.5,0.0,4.2,0.0,6.7,0.0,10.0,0.0,4.36,10.0,10.0,10.0,10.0,0.0,10.0,0.0,3.3,5.83
4841,10.0,10.0,10.0,10.0,8.8,6.7,0.0,5.0,0.0,10.0,0.0,10.0,0.0,1.7,0.0,5.16,10.0,10.0,10.0,5.0,10.0,1.7,0.0,0.0,5.32
4828,10.0,5.5,10.0,10.0,7.5,10.0,0.0,2.5,0.0,7.5,0.0,0.0,0.0,1.7,0.0,3.91,0.0,5.0,10.0,5.0,0.0,8.4,0.0,6.7,4.18
4296,0.6,0.0,4.2,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4833,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.3,10.0,8.8,10.0,0.0,1.7,0.0,7.41,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,7.50
4840,10.0,10.0,10.0,10.0,2.5,0.0,0.0,0.8,3.3,0.0,0.0,10.0,0.0,9.7,10.0,4.74,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.94
4618,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4825,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.70,10.0,5.0,10.0,5.0,10.0,10.0,10.0,0.0,8.44
1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1517,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.9,10.0,8.8,10.0,0.0,10.0,0.0,8.41,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
4846,10.0,10.0,10.0,8.1,3.8,9.2,6.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
4856,10.0,0.9,0.0,5.8,0.0,10.0,0.0,5.8,0.0,10.0,0.0,10.0,0.0,9.2,0.0,3.69,5.0,0.0,10.0,5.0,10.0,10.0,5.0,10.0,7.50
1958,10.0,9.1,0.8,0.0,0.0,0.0,0.0,1.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.88,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.94
4847,10.0,10.0,10.0,10.0,10.0,10.0,3.8,10.0,0.0,5.0,0.0,10.0,0.0,9.2,0.0,6.29,10.0,5.0,5.0,5.0,10.0,10.0,5.0,6.7,7.29
4830,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
4836,10.0,10.0,10.0,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.96,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
4829,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,5.89,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.50
4842,10.0,10.0,10.0,3.3,10.0,0.0,10.0,1.7,10.0,1.7,10.0,2.5,10.0,9.2,10.0,7.03,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2.50
4838,10.0,10.0,10.0,5.8,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.63
4827,10.0,10.0,10.0,10.0,10.0,9.2,6.3,10.0,8.9,10.0,10.0,4.2,8.8,5.0,3.8,8.30,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,8.13
4832,10.0,10.0,10.0,10.0,10.0,10.0,2.5,5.8,0.0,10.0,0.0,10.0,0.0,10.0,0.0,6.31,10.0,5.0,10.0,5.0,10.0,5.0,0.0,3.3,5.83
