id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4818,10.0,10.0,10.0,10.0,7.5,10.0,0.0,5.8,0.0,3.3,0.0,10.0,0.0,10.0,8.44,10.0,10.0,10.0,6.7,5.0,10.0,6.7,0.0,7.90
1139,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4628,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,0.0,10.0,10.0,10.0,0.0,9.7,9.96,10.0,10.0,10.0,10.0,10.0,7.8,10.0,0.0,9.56
4047,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4650,10.0,10.0,7.5,10.0,10.0,10.0,0.0,10.0,3.3,10.0,0.0,10.0,0.0,10.0,10.00,5.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,9.01
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3658,10.0,10.0,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3655,9.4,9.2,8.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20,0.0,10.0,10.0,0.0,10.0,6.7,0.0,10.0,5.34
3708,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.00,10.0,10.0,10.0,10.0,5.0,6.7,6.7,0.0,7.68
4960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4632,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.6,10.0,10.0,10.0,0.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
2810,10.0,10.0,7.5,6.4,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,9.49,10.0,10.0,10.0,0.0,5.0,3.3,3.3,6.7,4.99
4642,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
