id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4852,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4014,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,7.5,10.0,10.0,8.8,9.59,10.0,10.0,10.0,0.0,3.3,5.0,10.0,0.0,6.04
1178,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,4.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.63
4002,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3998,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,7.8,7.5,10.0,10.0,7.5,6.7,5.0,8.89,10.0,10.0,10.0,6.7,6.7,10.0,10.0,0.0,7.93
1518,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,9.92,10.0,10.0,10.0,6.7,10.0,10.0,10.0,0.0,8.34
3999,10.0,10.0,10.0,10.0,0.0,8.3,0.0,10.0,0.0,6.7,0.0,7.5,0.0,0.0,0.0,4.83,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.75
3993,10.0,10.0,6.7,10.0,0.8,4.2,0.0,3.3,0.0,3.3,0.0,2.5,0.0,5.0,0.0,3.72,10.0,10.0,10.0,6.7,10.0,10.0,10.0,0.0,8.34
1487,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,10.0,10.0,3.3,10.0,10.0,0.0,0.0,5.41
3997,9.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4496,10.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1150,0.0,0.0,10.0,2.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.84
4308,10.0,10.0,2.5,10.0,0.0,10.0,0.0,6.7,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.50,6.7,6.7,1.1,0.0,0.0,0.0,0.0,0.0,1.81
3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4012,9.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4009,9.2,10.0,10.0,10.0,0.0,8.3,0.0,10.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,4.05,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.82
