id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,A4,A5,A6,A7,MA
6343,10.0,10.0,10.0,9.4,7.5,8.2,3.1,7.3,8.19,6.7,0.0,10.0,3.3,3.3,6.7,0.0,4.29
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6344,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,0.0,0.0,0.0,0.0,3.3,10.0,3.33
6403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1071,0.0,0.4,2.5,0.6,0.0,0.0,0.6,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6349,8.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6341,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6342,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6339,8.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6533,4.7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.09,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.96
6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6347,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6338,10.0,10.0,9.0,10.0,8.3,7.6,0.0,10.0,8.11,10.0,0.0,10.0,0.0,6.7,7.8,0.0,4.93
4992,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6399,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4571,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5604,10.0,10.0,10.0,8.3,8.3,7.1,8.5,8.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6345,10.0,8.3,8.5,10.0,0.0,10.0,10.0,10.0,8.35,0.0,5.0,10.0,3.3,0.0,10.0,3.3,4.51
4605,10.0,10.0,10.0,0.0,0.0,0.6,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5994,0.6,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6351,10.0,10.0,10.0,8.9,8.3,9.4,10.0,10.0,9.57,10.0,0.0,10.0,1.1,3.3,6.7,6.7,5.40
6340,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,0.0,10.0,10.0,10.0,0.0,0.0,5.71
6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6454,10.0,10.0,10.0,0.6,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6346,6.3,10.0,10.0,7.2,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5285,10.0,7.8,8.0,0.0,0.0,0.0,1.9,0.7,3.55,10.0,0.0,0.0,3.3,0.0,6.7,6.7,3.81
