id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7209,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
6004,9.4,10.0,8.2,7.1,10.0,10.0,1.3,8.3,0.0,10.0,0.0,10.0,0.0,9.0,0.0,6.22,6.7,3.3,6.7,0.0,3.3,3.3,6.7,6.7,4.59
4339,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,6.83,10.0,10.0,6.7,10.0,4.4,3.3,6.7,0.0,6.39
5668,0.0,10.0,5.5,0.0,10.0,3.0,0.0,5.8,0.0,8.0,0.0,10.0,0.0,8.0,0.0,4.02,6.7,0.0,0.0,10.0,5.6,9.7,3.3,10.0,5.66
4419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6128,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7168,0.0,10.0,4.5,5.7,10.0,2.0,0.0,7.5,0.0,8.0,0.0,1.0,0.0,9.0,0.0,3.85,10.0,10.0,6.7,0.0,1.1,0.0,0.0,0.0,3.48
6437,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7140,6.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6086,10.0,10.0,0.0,0.0,10.0,4.7,0.0,5.8,0.0,0.0,0.0,10.0,0.0,4.0,0.0,3.63,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41
14,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7143,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,7.00,10.0,3.3,10.0,0.0,3.3,10.0,6.7,0.0,5.41
7142,10.0,10.0,10.0,10.0,10.0,10.0,6.3,10.0,4.4,10.0,8.8,10.0,6.1,10.0,0.0,8.37,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,8.34
