id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7125,10.0,10.0,10.0,9.2,0.0,9.3,0.0,10.0,1.1,9.0,0.0,10.0,0.0,10.0,0.0,5.91,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,8.34
7127,8.8,10.0,0.0,10.0,0.0,2.0,0.0,1.7,0.0,10.0,0.0,9.0,1.7,7.0,0.0,4.01,10.0,6.7,6.7,0.0,10.0,10.0,10.0,10.0,7.92
7130,10.0,10.0,9.1,10.0,10.0,10.0,10.0,10.0,0.0,10.0,7.5,10.0,8.3,10.0,5.0,8.66,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
7132,10.0,10.0,5.5,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,9.0,0.0,10.0,0.0,5.63,6.7,8.9,6.7,6.7,6.7,9.7,10.0,0.0,6.93
7123,10.0,10.0,8.2,10.0,5.7,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,6.26,6.7,0.0,6.7,10.0,10.0,10.0,10.0,0.0,6.67
7121,10.0,10.0,10.0,10.0,0.0,10.0,0.0,8.3,0.0,8.0,0.0,9.0,0.0,10.0,0.0,5.69,10.0,10.0,10.0,10.0,10.0,10.0,3.3,0.0,7.91
2357,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7194,10.0,10.0,2.7,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.41
7138,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,0.0,10.0,10.0,9.00,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,7.50
7126,10.0,10.0,6.4,10.0,0.0,10.0,0.0,10.0,3.3,10.0,0.0,10.0,0.0,10.0,0.0,5.98,6.7,0.0,3.3,6.7,10.0,3.3,3.3,3.3,4.57
7119,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.75
7129,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5517,10.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
670,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.0,3.0,0.0,0.38,0.0,1.2,0.0,0.0,10.0,10.0,10.0,6.8,4.75
6046,8.8,10.0,10.0,6.2,0.0,8.7,0.0,3.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.27,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.00
3234,0.6,10.0,0.0,9.2,0.0,10.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,3.59,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,7.50
7234,10.0,1.7,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7235,10.0,0.8,0.0,1.5,0.0,6.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,3.3,10.0,0.0,10.0,6.7,3.75
5679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,9.0,0.0,2.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
