id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7081,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,5.88,10.0,10.0,10.0,0.0,0.0,0.4,0.7,0.4,3.94
1059,1.3,2.5,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3757,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,9.0,0.0,10.0,0.0,9.0,0.0,9.75,6.7,10.0,0.0,6.7,6.7,3.3,3.3,10.0,5.84
7173,10.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5025,10.0,10.0,4.5,7.7,0.0,4.3,0.0,2.5,0.0,2.0,0.0,0.0,0.0,4.0,0.0,5.06,10.0,10.0,10.0,0.0,3.3,6.7,6.7,6.7,6.68
7178,10.0,10.0,5.5,10.0,2.9,8.0,0.0,10.0,0.0,9.0,0.0,10.0,6.7,9.0,0.0,9.50,6.7,10.0,1.1,6.7,8.9,3.3,0.0,10.0,5.84
7172,10.0,10.0,10.0,10.0,10.0,4.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,10.0,10.0,10.0,10.0,0.0,3.3,10.0,7.8,7.64
4869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7175,10.0,10.0,1.8,10.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,10.0,6.7,9.0,0.0,8.13,6.7,10.0,0.0,3.3,10.0,0.0,0.0,10.0,5.00
6125,10.0,10.0,10.0,10.0,1.4,8.7,0.0,9.2,0.0,10.0,0.0,10.0,0.0,8.0,0.0,9.49,10.0,10.0,8.9,6.7,6.7,6.7,10.0,0.0,7.38
5505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4113,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7205,10.0,10.0,0.9,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66
3657,10.0,10.0,6.4,10.0,0.0,4.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,10.0,10.0,10.0,10.0,10.0,3.3,10.0,0.0,7.91
7181,10.0,10.0,10.0,10.0,10.0,10.0,1.3,6.7,0.0,10.0,0.0,10.0,0.0,9.0,0.0,9.46,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,8.75
7247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7177,10.0,10.0,10.0,10.0,0.0,8.0,0.0,9.4,0.0,0.0,0.0,10.0,6.7,8.0,0.0,8.18,6.7,10.0,0.0,6.7,0.0,3.3,0.0,10.0,4.59
7179,10.0,10.0,8.2,10.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,9.0,8.3,0.0,0.0,6.13,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
7176,10.0,10.0,10.0,10.0,2.9,8.0,0.0,10.0,0.0,9.0,0.0,10.0,6.7,9.0,0.0,9.50,10.0,10.0,3.3,6.7,10.0,3.3,0.0,10.0,6.66
7180,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,5.6,9.0,1.3,10.0,3.9,8.0,1.3,9.63,5.7,0.0,8.9,0.0,6.7,0.0,6.7,10.0,4.75
3765,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6074,10.0,10.0,10.0,10.0,10.0,8.0,2.5,4.2,0.0,0.0,0.0,0.0,0.0,7.0,1.3,6.15,10.0,10.0,0.0,0.0,0.0,0.0,6.7,0.0,3.34
7174,10.0,10.0,3.6,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,9.0,0.0,9.88,10.0,10.0,0.0,10.0,10.0,3.3,10.0,10.0,7.91
5286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
