id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7579,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,7.8,0.0,8.96
7574,10.0,10.0,10.0,10.0,2.9,10.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,10.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.83
6354,10.0,10.0,8.2,10.0,0.0,9.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,4.0,0.0,9.00,10.0,10.0,3.3,6.7,3.3,6.7,3.3,6.7,5.41
7675,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6344,10.0,10.0,10.0,10.0,8.6,9.0,0.0,10.0,4.4,10.0,0.0,10.0,0.0,6.0,0.0,9.29,10.0,10.0,10.0,6.7,10.0,10.0,10.0,0.0,8.96
7239,10.0,10.0,10.0,10.0,10.0,10.0,1.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00,0.0,10.0,2.2,3.3,10.0,10.0,6.7,6.7,6.74
4305,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3859,10.0,0.0,0.0,7.7,0.0,2.0,0.0,0.0,8.9,10.0,0.0,9.0,0.0,6.0,0.0,4.96,10.0,10.0,6.7,0.0,10.0,6.7,3.3,6.7,6.26
2083,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7575,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.2,0.0,10.0,0.0,10.0,0.0,7.0,0.0,9.46,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,8.13
6358,10.0,10.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
2950,0.0,10.0,10.0,10.0,10.0,7.7,1.3,5.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.67,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.75
6379,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00
2006,10.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6342,10.0,10.0,9.1,8.5,4.3,10.0,0.0,4.2,0.0,10.0,0.0,10.0,0.0,5.0,0.0,8.24,10.0,10.0,10.0,0.0,3.3,6.7,0.0,6.7,4.79
6533,0.0,10.0,2.7,0.0,0.0,3.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,6.86,10.0,10.0,0.0,3.3,0.0,6.7,10.0,6.7,5.21
4048,9.4,10.0,10.0,7.7,0.0,8.3,0.0,10.0,4.4,10.0,3.8,8.0,0.0,10.0,0.0,9.14,10.0,10.0,6.7,3.3,10.0,6.7,10.0,0.0,7.51
