id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7663,10.0,10.0,10.0,2.5,9.0,10.0,6.7,10.0,2.7,0.0,1.3,0.0,1.3,1.7,0.0,8.31,10.0,10.0,10.0,4.0,6.7,10.0,3.3,0.0,6.58
5062,10.0,2.3,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7211,10.0,10.0,9.0,10.0,8.0,10.0,8.7,10.0,10.0,10.0,8.8,10.0,10.0,8.3,7.5,9.39,10.0,6.7,10.0,10.0,0.0,0.0,1.1,0.0,4.17
2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5826,10.0,7.7,2.0,1.1,5.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.50
7659,10.0,5.1,9.0,10.0,9.0,10.0,10.0,10.0,1.8,4.3,0.0,0.0,0.0,0.0,0.0,9.01,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
7657,10.0,10.0,10.0,2.5,10.0,0.0,0.0,6.3,2.7,0.0,0.0,4.4,0.0,0.0,0.0,6.07,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.50
4056,1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3241,10.0,6.2,5.7,3.3,8.0,10.0,8.3,10.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,7.36,10.0,7.8,10.0,3.3,3.3,10.0,10.0,0.0,7.01
7660,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,1.7,0.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
7658,8.3,10.0,10.0,10.0,10.0,10.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,10.0,10.0,10.0,6.7,10.0,6.7,3.3,0.0,6.88
6363,10.0,3.8,0.0,0.8,5.0,8.0,7.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,10.0,10.0,10.0,0.0,6.7,6.7,3.3,0.0,5.21
7662,8.3,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5299,10.0,10.0,10.0,8.3,10.0,4.0,8.0,10.0,10.0,10.0,5.0,8.9,0.0,0.0,0.0,8.61,4.7,7.8,10.0,6.7,6.7,6.7,0.0,0.0,5.24
6364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5029,10.0,10.0,10.0,2.5,2.0,10.0,9.0,10.0,7.3,7.1,7.5,3.3,0.0,0.0,3.8,7.64,10.0,10.0,10.0,1.1,10.0,10.0,10.0,0.0,7.71
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4046,10.0,5.4,2.3,0.8,8.0,0.0,10.0,10.0,6.4,0.0,1.3,0.0,0.0,0.0,0.0,5.21,10.0,10.0,10.0,0.3,0.0,0.0,0.0,0.0,2.56
6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4051,0.8,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4694,2.5,2.3,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
