id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7725,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7646,4.4,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7649,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5052,10.0,10.0,0.0,6.2,0.0,10.0,0.0,2.5,0.0,5.0,9.0,0.0,7.0,4.59,10.0,0.0,6.7,6.7,0.0,10.0,10.0,10.0,6.67
5522,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,5.5,10.0,10.0,0.0,0.0,0.0,3.81
7647,10.0,10.0,9.1,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,6.85,10.0,10.0,6.7,6.7,0.0,10.0,6.7,0.0,6.06
7651,10.0,10.0,10.0,10.0,10.0,10.0,3.8,10.0,5.6,10.0,10.0,8.3,9.0,8.98,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,7.50
7726,0.6,7.5,8.2,10.0,10.0,4.3,3.8,2.5,0.0,0.0,0.0,0.0,0.0,3.61,10.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.46
670,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
7643,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,9.7,6.13,0.0,6.7,3.3,6.7,3.3,0.0,0.0,0.0,2.29
7650,10.0,10.0,6.4,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,3.3,10.0,6.90,10.0,6.7,10.0,10.0,10.0,10.0,10.0,0.0,9.17
5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7191,10.0,0.0,3.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7642,10.0,10.0,10.0,10.0,10.0,1.0,0.0,10.0,2.2,10.0,10.0,3.3,3.0,6.88,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
6337,10.0,10.0,10.0,10.0,4.3,10.0,5.0,10.0,0.0,10.0,0.0,0.0,0.0,6.10,10.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,1.88
7656,10.0,10.0,10.0,10.0,0.0,6.7,0.0,10.0,3.3,10.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,3.13
3284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7740,10.0,10.0,10.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.21
4202,10.0,10.0,10.0,10.0,7.1,10.0,1.3,10.0,0.0,10.0,10.0,0.0,10.0,7.57,10.0,10.0,10.0,0.0,6.7,0.0,0.0,10.0,4.38
7648,10.0,10.0,10.0,10.0,10.0,2.0,0.0,10.0,0.0,10.0,10.0,0.0,9.7,7.05,10.0,10.0,1.1,0.0,6.7,10.0,10.0,0.0,6.39
7686,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6604,10.0,10.0,10.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6460,4.4,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7654,10.0,10.0,10.0,10.0,10.0,10.0,3.8,10.0,2.2,10.0,10.0,3.3,0.0,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7640,10.0,10.0,10.0,10.0,10.0,10.0,5.0,2.5,0.0,0.0,0.0,0.0,9.7,5.94,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,1.26
5724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7655,10.0,10.0,3.6,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
