id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7596,10.0,10.0,5.5,10.0,1.4,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.43,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7635,10.0,10.0,2.7,10.0,0.0,0.0,0.0,9.2,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,4.49,10.0,10.0,0.0,10.0,10.0,6.7,0.0,0.0,5.84
7585,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7594,10.0,10.0,0.9,10.0,1.4,10.0,0.0,10.0,1.1,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.21,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
7582,10.0,10.0,10.0,10.0,5.7,6.0,0.0,6.7,0.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,4.36,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41
7599,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,4.4,10.0,2.5,10.0,5.0,10.0,0.0,0.0,6.99,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75
5308,10.0,10.0,10.0,10.0,10.0,10.0,7.5,6.7,0.0,6.0,0.0,5.0,0.0,3.0,0.0,0.0,5.51,10.0,10.0,10.0,3.3,10.0,10.0,0.0,10.0,7.91
3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3595,10.0,10.0,10.0,10.0,10.0,9.7,0.0,10.0,4.4,9.0,0.0,10.0,0.0,10.0,10.0,0.0,7.07,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,7.50
7586,10.0,10.0,0.9,7.7,0.0,0.3,0.0,2.5,0.0,6.0,0.0,10.0,0.0,10.0,0.0,0.0,3.59,6.7,10.0,6.7,0.0,0.0,0.0,0.0,0.0,2.92
7598,10.0,10.0,2.7,10.0,2.9,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.35,3.3,0.0,3.3,3.3,10.0,6.7,3.3,7.8,4.71
105,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
