id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7609,6.3,4.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7604,10.0,7.5,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
7627,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7389,10.0,0.8,0.9,0.0,0.0,7.0,0.0,0.8,0.0,0.0,0.0,7.0,0.0,1.0,2.5,2.37,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06
6457,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,0.0,10.0,2.5,10.0,8.3,10.0,1.3,10.00,3.3,6.7,3.3,0.0,0.0,0.0,0.0,0.0,1.04
6463,10.0,10.0,10.0,9.2,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.3,9.89,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,3.13
7693,0.0,7.5,0.0,7.4,0.0,3.7,0.0,4.2,0.0,1.0,0.0,0.0,0.0,1.0,1.3,3.54,0.0,10.0,8.9,8.9,10.0,0.0,0.0,0.0,4.72
7608,10.0,10.0,6.4,10.0,1.4,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,7.14,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,4.38
7613,10.0,10.0,0.9,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
7550,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7611,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,0.0,3.0,0.0,4.3,0.0,2.0,1.3,7.04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.38
3213,1.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4211,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7631,8.1,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7704,10.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,3.3,3.3,1.1,0.0,0.0,0.0,0.0,0.0,0.55
3201,5.9,4.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
