id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7502,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,9.0,0.0,10.0,6.7,5.7,0.0,9.24,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
7623,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
6461,10.0,10.0,10.0,10.0,0.0,9.0,0.0,10.0,1.1,9.0,2.5,9.0,0.0,9.0,1.3,9.43,10.0,10.0,8.9,3.3,6.7,6.7,10.0,0.0,7.64
7389,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7614,10.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3658,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7616,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.7,1.0,0.0,8.71,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,6.67
7691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7619,8.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7721,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1071,0.6,1.7,0.9,1.5,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.7,0.0,1.41,0.0,3.0,7.0,3.6,0.0,0.0,0.0,0.0,1.61
7496,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,1.3,1.0,0.0,0.0,0.0,1.86,0.0,0.0,5.5,3.6,0.0,0.3,0.0,0.0,1.27
7762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6437,10.0,10.0,10.0,10.0,10.0,10.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33
7624,10.0,10.0,10.0,10.0,10.0,9.7,1.3,5.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.21,10.0,10.0,7.8,3.3,0.0,0.0,0.0,0.0,2.81
7615,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,9.0,0.0,10.0,5.0,8.0,2.5,9.57,10.0,10.0,8.9,6.7,10.0,10.0,10.0,0.0,9.41
7692,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4338,10.0,10.0,3.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33
6281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7702,10.0,10.0,10.0,10.0,7.1,10.0,1.3,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.86,10.0,10.0,10.0,3.3,0.0,0.0,0.0,0.0,3.11
2912,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,0.0,10.0,0.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
7618,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.3,10.00,6.7,10.0,0.0,0.0,10.0,6.7,10.0,10.0,6.45
7622,10.0,10.0,10.0,10.0,8.6,10.0,7.5,10.0,0.0,8.0,0.0,10.0,0.0,10.0,1.3,9.71,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
3263,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7617,10.0,10.0,10.0,10.0,10.0,10.0,1.3,10.0,1.1,10.0,8.8,10.0,6.7,10.0,2.5,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
