id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,ML,A1,A2,A3,A4,A5,A6,A7,MA
7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6371,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7209,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.00,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.00
7690,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.00,10.0,10.0,6.7,10.0,10.0,10.0,10.0,9.56
6391,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7665,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,6.0,5.14,0.0,10.0,6.7,10.0,10.0,10.0,10.0,8.89
4773,0.0,10.0,1.0,0.0,1.0,0.0,10.0,0.0,1.3,0.0,1.71,5.0,0.0,3.3,0.0,0.0,0.0,0.0,0.77
7561,10.0,6.2,10.0,9.2,9.0,10.0,9.4,2.7,7.5,8.0,8.91,0.0,6.7,6.7,6.7,3.3,0.0,6.7,4.23
3558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7115,9.2,9.2,8.0,3.3,0.0,0.0,10.0,0.0,0.0,0.0,4.24,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.22
7505,10.0,10.0,7.3,0.8,0.0,0.0,10.0,4.5,2.5,0.0,4.01,10.0,10.0,7.8,0.0,0.0,3.3,0.0,3.03
1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2549,5.8,0.0,2.0,3.3,0.0,0.0,10.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6318,5.0,2.3,8.0,7.5,10.0,8.0,10.0,0.0,1.3,8.0,6.97,10.0,10.0,10.0,3.3,10.0,10.0,10.0,9.11
7666,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00
7689,10.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.71,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.33
5551,9.2,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6130,10.0,9.2,8.0,3.3,7.3,9.0,10.0,10.0,7.5,7.0,7.69,10.0,0.0,6.7,0.0,0.0,0.0,0.0,1.56
7215,10.0,6.2,3.7,1.7,1.0,0.0,10.0,10.0,0.0,0.0,3.23,10.0,10.0,8.9,0.0,0.0,0.0,0.0,2.52
7692,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,7.5,8.7,9.53,1.5,10.0,5.5,0.0,0.4,6.6,1.7,3.24
6258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7558,10.0,10.0,8.0,10.0,9.0,10.0,9.4,7.3,5.0,10.0,9.57,10.0,10.0,7.8,0.0,3.3,10.0,10.0,7.03
4431,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5536,7.5,10.0,8.0,7.5,9.0,10.0,8.1,0.0,0.0,9.0,8.71,5.0,10.0,6.7,3.3,3.3,0.0,10.0,4.99
7128,10.0,1.5,3.0,10.0,10.0,10.0,10.0,4.5,0.0,9.0,7.64,10.0,10.0,10.0,3.3,6.7,10.0,6.7,7.79
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7664,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4070,10.0,10.0,0.7,0.0,6.0,9.0,10.0,10.0,1.3,6.0,5.96,10.0,10.0,10.0,0.0,10.0,10.0,3.3,7.33
7506,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,7.14,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.00
7193,10.0,10.0,8.0,8.3,0.0,0.0,10.0,10.0,3.8,0.0,5.19,10.0,10.0,0.0,6.7,0.0,0.0,0.0,2.23
3169,10.0,4.6,0.0,5.8,10.0,10.0,10.0,3.6,1.3,8.0,6.91,10.0,10.0,6.7,6.7,10.0,10.0,6.7,8.46
1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7221,3.3,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7510,10.0,10.0,5.7,2.5,7.7,6.0,7.5,4.5,0.0,0.0,5.99,10.0,10.0,10.0,0.0,0.0,10.0,10.0,6.67
6384,10.0,6.9,2.0,8.3,0.0,0.0,10.0,5.5,1.3,0.0,3.89,5.0,0.0,0.0,0.0,0.0,10.0,0.0,2.33
1226,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3607,10.0,10.0,10.0,5.0,2.0,10.0,10.0,9.1,0.0,10.0,8.14,10.0,10.0,0.0,0.0,0.0,10.0,10.0,5.33
7578,9.2,6.9,6.0,0.0,6.0,9.0,9.4,10.0,3.8,4.3,5.91,10.0,10.0,3.3,0.0,0.0,0.0,3.3,2.43
7133,2.5,3.8,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.3,5.09,5.0,0.0,3.3,3.3,10.0,10.0,10.0,7.21
3073,10.0,10.0,10.0,0.0,9.7,0.0,10.0,10.0,10.0,0.0,5.67,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.67
6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3404,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6013,7.5,10.0,10.0,10.0,8.0,10.0,10.0,0.0,0.0,10.0,9.36,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.33
