id,Turma,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,A4,A5,A6,A7,MA
6455,374,0.0,5.6,10.0,8.0,10.0,10.0,10.0,10.0,7.95,0.0,0.0,0.0,10.0,10.0,10.0,8.9,7.11
6336,374,10.0,7.8,10.0,2.0,10.0,8.2,10.0,9.3,8.41,0.0,5.0,10.0,0.0,10.0,3.3,10.0,6.33
6386,374,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.3,9.91,10.0,0.0,0.0,10.0,0.0,10.0,10.0,6.00
6394,374,0.0,0.0,10.0,7.8,10.0,7.6,8.8,5.3,6.19,10.0,0.0,10.0,0.0,10.0,10.0,0.0,6.00
5839,374,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,0.0,0.0,10.0,10.0,10.0,0.0,6.00
6474,374,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,10.0,10.0,0.0,10.0,10.0,0.0,6.00
5837,374,0.0,9.4,10.0,10.0,8.8,10.0,10.0,9.3,8.44,0.0,10.0,10.0,0.0,10.0,10.0,0.0,6.00
6382,374,10.0,8.9,10.0,10.0,10.0,8.8,8.1,7.3,9.14,0.0,10.0,10.0,0.0,0.0,6.7,10.0,5.34
5812,374,10.0,10.0,10.0,10.0,10.0,0.6,0.6,0.7,6.49,0.0,10.0,0.0,0.0,10.0,10.0,0.0,4.67
6523,374,10.0,7.2,10.0,4.4,4.2,6.5,6.9,5.3,6.81,3.3,0.0,10.0,0.0,6.7,4.4,3.3,4.43
2618,374,10.0,10.0,10.0,8.9,10.0,7.6,8.1,8.0,9.07,6.7,0.0,10.0,0.0,10.0,0.0,0.0,3.78
5013,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.00
6520,374,9.4,0.6,7.4,1.1,5.5,2.4,0.0,0.0,3.30,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.67
5835,374,8.8,7.2,0.0,8.3,6.2,0.0,0.0,0.0,3.81,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
6368,374,10.0,10.0,10.0,7.2,10.0,10.0,10.0,10.0,9.65,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.67
6393,374,0.0,0.0,10.0,2.2,10.0,0.0,0.0,0.0,2.77,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.45
6354,374,10.0,6.1,10.0,7.2,10.0,10.0,10.0,10.0,9.16,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.33
6488,374,10.0,0.6,7.4,2.0,7.0,5.3,5.0,0.0,4.66,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.33
1071,374,0.6,3.3,0.9,1.7,0.0,2.4,0.6,3.3,1.60,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.16
6391,374,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1059,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6395,374,3.1,4.4,9.1,6.9,8.5,0.6,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6216,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
670,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6046,374,9.4,5.4,6.5,1.1,0.0,0.0,0.0,0.0,2.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2841,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6486,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6125,374,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6472,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6392,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6387,374,0.0,2.2,10.0,6.7,8.3,0.0,0.0,0.0,3.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6337,374,6.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6389,374,0.6,0.0,10.0,0.0,8.5,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6350,374,10.0,7.2,10.0,5.6,10.0,9.4,8.8,7.8,8.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6397,374,2.5,0.0,10.0,6.7,10.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6477,374,2.5,0.0,9.6,5.6,8.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6381,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1308,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3650,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6475,374,0.0,3.9,6.5,6.7,10.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6390,374,7.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6091,374,0.0,0.6,0.0,3.9,1.5,1.2,0.0,0.7,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6388,374,10.0,5.0,0.4,5.0,5.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6400,374,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6531,374,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
