id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,MA
5816,10.0,10.0,10.0,10.0,5.7,0.0,6.0,0.8,6.70,10.0,10.0,10.0,10.00
4697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
2950,10.0,10.0,6.4,3.8,0.0,10.0,10.0,0.0,5.95,6.7,0.0,10.0,5.57
4386,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
7154,10.0,10.0,10.0,10.0,10.0,7.5,10.0,0.0,7.50,10.0,10.0,10.0,10.00
7152,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
4781,10.0,10.0,7.3,10.0,2.9,0.0,2.0,0.0,5.50,10.0,10.0,3.3,7.77
3384,2.5,10.0,0.9,10.0,4.3,1.3,10.0,0.0,7.50,3.3,6.7,10.0,6.67
7200,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
4699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,6.7,0.0,0.0,2.23
7201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
6071,10.0,7.5,4.5,10.0,7.1,1.3,10.0,0.0,6.88,3.3,0.0,2.2,1.83
5724,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.2,1.7,0.0,0.97
3361,6.3,0.8,0.0,1.5,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.00
4051,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.0,0.0,0.00
7151,6.3,6.7,0.9,10.0,0.0,0.0,3.7,0.0,5.10,0.0,10.0,3.3,4.43
7155,10.0,10.0,10.0,10.0,5.7,0.0,6.0,1.7,6.92,10.0,10.0,6.7,8.90
7150,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
