id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,MA
3395,10.0,5.0,0.9,10.0,10.0,0.0,0.0,0.0,6.25,6.7,10.0,10.0,8.90
5859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
3965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
5090,10.0,10.0,10.0,10.0,10.0,6.3,0.0,0.0,7.50,10.0,10.0,10.0,10.00
6961,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
5687,9.4,5.0,0.0,5.4,0.0,0.0,0.0,0.0,2.60,6.7,6.7,0.0,4.47
7220,8.1,0.8,0.0,8.5,1.0,0.0,0.0,0.0,2.58,0.0,3.3,0.0,1.10
6484,10.0,10.0,10.0,10.0,8.0,1.3,0.0,0.0,7.00,6.7,10.0,10.0,8.90
7211,10.0,0.0,0.9,7.2,7.0,5.6,0.0,0.0,3.55,0.0,6.7,3.3,3.33
6421,10.0,10.0,10.0,10.0,10.0,7.5,0.0,0.0,7.50,6.7,10.0,6.7,7.80
1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
5014,10.0,6.7,0.0,6.4,0.0,0.0,0.0,0.0,3.28,10.0,0.0,0.0,3.33
6613,10.0,8.3,0.0,10.0,10.0,2.5,0.0,0.0,7.08,0.0,10.0,10.0,6.67
7222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
6024,10.0,10.0,0.0,10.0,9.3,0.0,0.0,0.0,7.33,10.0,10.0,10.0,10.00
2377,10.0,5.8,1.8,10.0,5.0,0.0,0.0,0.0,5.20,0.0,10.0,0.0,3.33
6452,8.8,7.5,8.2,8.2,8.0,0.0,0.0,0.0,5.92,10.0,10.0,10.0,10.00
5148,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.00,0.0,0.0,0.0,0.00
6612,10.0,10.0,9.1,10.0,10.0,8.8,0.0,0.0,7.50,6.7,10.0,10.0,8.90
3631,10.0,10.0,10.0,10.0,9.7,1.3,0.0,0.0,7.42,10.0,10.0,10.0,10.00
6415,10.0,10.0,8.2,10.0,10.0,0.0,0.0,0.0,7.50,10.0,10.0,10.0,10.00
4338,10.0,10.0,10.0,10.0,8.0,0.0,0.0,0.0,7.00,10.0,10.0,10.0,10.00
6462,10.0,10.0,10.0,10.0,7.0,7.5,0.0,0.0,6.75,10.0,10.0,10.0,10.00
6481,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,7.50,10.0,10.0,10.0,10.00
2285,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
7219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
7248,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.50,0.0,10.0,6.7,5.57
3412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
6408,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,7.50,10.0,10.0,3.3,7.77
4046,10.0,10.0,9.1,7.7,5.3,0.0,0.0,0.0,5.75,0.0,10.0,6.7,5.57
6172,10.0,10.0,4.5,10.0,9.0,0.0,0.0,0.0,7.25,3.3,10.0,3.3,5.53
6424,10.0,10.0,0.0,6.9,10.0,0.0,0.0,0.0,6.72,10.0,10.0,8.9,9.63
7097,10.0,6.7,0.9,10.0,10.0,0.0,0.0,0.0,6.67,10.0,10.0,10.0,10.00
6485,10.0,10.0,10.0,6.9,1.0,0.0,0.0,0.0,4.47,10.0,10.0,0.0,6.67
5113,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
6401,10.0,9.2,3.6,2.3,9.0,1.3,0.0,0.0,5.13,0.0,10.0,10.0,6.67
5484,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.50,0.0,0.0,0.0,0.00
6479,10.0,0.0,0.0,10.0,8.0,3.8,0.0,0.0,4.50,0.0,0.0,10.0,3.33
3695,9.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.00
2514,8.8,10.0,9.1,10.0,4.0,0.0,0.0,0.0,6.00,3.3,10.0,0.0,4.43
