id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,MA
6391,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.00,10.0,10.0,0.0,6.67
7202,10.0,9.2,3.6,1.5,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.00
7159,10.0,10.0,10.0,7.7,10.0,0.0,0.0,0.0,5.96,0.0,10.0,10.0,6.67
5655,10.0,10.0,10.0,9.2,4.7,0.0,0.0,0.0,5.49,10.0,10.0,10.0,10.00
7158,10.0,10.0,10.0,10.0,10.0,7.5,0.0,0.0,7.19,10.0,0.0,10.0,6.67
7161,10.0,10.0,10.0,10.0,10.0,8.8,0.0,0.0,7.35,10.0,0.0,10.0,6.67
7204,10.0,10.0,10.0,10.0,10.0,3.8,0.0,0.0,6.72,10.0,10.0,10.0,10.00
7164,10.0,10.0,10.0,10.0,10.0,3.8,0.0,0.0,6.72,10.0,10.0,10.0,10.00
7166,10.0,10.0,10.0,10.0,7.3,0.0,0.0,0.0,5.91,10.0,10.0,6.7,8.90
6387,10.0,10.0,0.9,6.9,1.0,0.0,0.0,0.0,3.60,10.0,10.0,8.9,9.63
7163,10.0,10.0,10.0,10.0,10.0,2.5,0.0,0.0,6.56,10.0,10.0,10.0,10.00
6397,10.0,10.0,0.0,3.1,0.0,0.0,0.0,0.0,2.89,10.0,10.0,0.0,6.67
6477,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,10.0,6.7,6.7,7.80
7160,10.0,10.0,10.0,10.0,10.0,8.8,0.0,0.0,7.35,10.0,0.0,10.0,6.67
6408,10.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.00
7167,10.0,10.0,10.0,10.0,8.0,0.0,0.0,0.0,6.00,10.0,10.0,10.0,10.00
6475,10.0,0.0,0.0,0.0,10.0,1.3,0.0,0.0,2.66,10.0,10.0,6.7,8.90
7162,10.0,10.0,10.0,10.0,10.0,6.3,0.0,0.0,7.04,10.0,10.0,10.0,10.00
2870,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.00
4846,10.0,10.0,6.4,7.7,0.0,0.0,0.0,0.0,4.26,10.0,10.0,0.0,6.67
7090,5.6,5.8,4.5,5.9,2.0,0.0,0.0,0.0,2.97,10.0,10.0,0.0,6.67
3469,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.00
7203,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.00,10.0,10.0,0.0,6.67
7218,10.0,8.3,9.1,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.00
6080,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,6.25,0.0,10.0,3.3,4.43
7165,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,7.50,10.0,10.0,10.0,10.00
6388,10.0,10.0,10.0,10.0,5.0,0.0,0.0,0.0,5.63,10.0,6.7,0.0,5.57
6531,10.0,10.0,10.0,10.0,10.0,6.3,0.0,0.0,7.04,3.3,10.0,10.0,7.77
