id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,ML,A1,A2,A3,MA
7103,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,2.5,0.0,6.50,10.0,10.0,10.0,10.00
7101,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.2,0.0,6.84,10.0,10.0,10.0,10.00
7100,6.9,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.00
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
7187,0.0,10.0,10.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2.00,10.0,0.0,0.0,2.50
3500,0.0,10.0,10.0,10.0,8.5,0.0,5.0,0.0,0.0,0.0,4.70,0.0,0.0,0.0,0.00
7212,6.3,10.0,6.7,10.0,10.0,10.0,10.0,10.0,7.5,0.0,7.50,10.0,10.0,10.0,10.00
7102,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,6.00,10.0,10.0,10.0,10.00
6615,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.5,2.5,0.0,6.30,10.0,10.0,10.0,10.00
7214,0.0,10.0,10.0,6.4,10.0,10.0,10.0,3.8,2.5,0.0,6.50,0.0,10.0,0.0,2.50
6280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
6165,0.0,10.0,6.7,1.8,10.0,10.0,10.0,0.0,2.5,0.0,6.50,10.0,10.0,1.1,5.55
7185,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.2,0.0,6.84,0.0,10.0,10.0,7.50
5664,0.0,10.0,0.0,5.5,10.0,10.0,10.0,8.8,6.9,0.0,7.38,10.0,10.0,10.0,10.00
2083,1.3,10.0,0.0,3.6,7.7,0.0,8.0,0.0,2.5,0.0,5.64,2.8,0.7,1.1,1.43
7112,10.0,10.0,10.0,10.0,10.0,8.6,10.0,10.0,3.3,0.0,6.66,0.0,6.7,10.0,6.67
7171,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,7.34,10.0,10.0,10.0,10.00
7109,10.0,10.0,10.0,5.5,10.0,10.0,9.7,0.0,0.0,0.0,5.94,10.0,10.0,8.9,9.45
7188,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.8,2.5,0.0,6.50,10.0,10.0,8.9,9.45
6119,0.0,10.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.00,10.0,0.0,0.0,2.50
6026,10.0,10.0,10.0,10.0,10.0,1.4,0.0,0.0,0.0,0.0,4.00,10.0,0.0,0.0,2.50
7111,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,3.3,0.0,6.66,10.0,10.0,8.9,9.45
7229,0.0,10.0,0.0,9.1,10.0,10.0,10.0,10.0,2.5,0.0,6.50,10.0,10.0,10.0,10.00
7213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
7106,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.3,0.0,6.66,10.0,10.0,10.0,10.00
4646,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,2.5,0.0,6.50,10.0,10.0,10.0,10.00
7107,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,0.0,7.50,10.0,10.0,10.0,10.00
7104,6.3,10.0,0.0,10.0,10.0,0.0,10.0,0.0,2.5,0.0,6.50,10.0,0.0,3.3,4.15
2927,9.4,10.0,10.0,10.0,10.0,10.0,10.0,8.8,2.5,0.0,6.50,10.0,10.0,3.3,6.65
7255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
7105,10.0,10.0,0.0,10.0,9.2,0.0,10.0,8.8,3.3,0.0,6.50,10.0,10.0,10.0,10.00
1226,0.0,10.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.00,0.0,0.0,0.0,0.00
7190,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,6.00,10.0,10.0,0.0,5.00
5998,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,7.34,10.0,10.0,10.0,10.00
3799,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,6.00,10.0,10.0,10.0,10.00
7108,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.5,0.0,6.50,10.0,10.0,6.7,8.35
7113,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
