@relation Plagio
@attribute 'logins' numeric
@attribute 'log_size' numeric
@attribute 'input' numeric
@attribute 'backspace' numeric
@attribute 'test' numeric
@attribute 'error_test' numeric
@attribute 'submition' numeric
@attribute 'error_submition' numeric
@attribute 'navegation' numeric
@attribute 'exercise_time' numeric
@attribute '%_paste' numeric
@attribute '%_alunos_acertaram' numeric
@attribute '%_atividades_corretas' numeric
@attribute 'procrastinacao' numeric
@attribute 'media_avaliacoes' numeric
@attribute 'diff_avaliacoes_listas' numeric
@attribute 'plagio' {'sim', 'nao'}
@data
69,580,182,192,10,5,4,4,61,779.0,0.02,0.21,0.37,9155.36,2.59,5.75,nao % 1014_3997/3997 tur:225 trab:1708
65,1641,535,576,32,8,12,12,10,2468.0,0.18,0.33,0.43,5764.46,3.1,1.55,nao % 1017_1508/1508 tur:220 trab:1597
56,173,10,12,12,4,5,4,39,355.0,2.35,0.42,0.27,1817.1,0.85,4.36,sim % 1100_4348/4348 tur:224 trab:1771
65,773,451,132,8,6,0,0,9,592.0,0,0.42,0.51,52538.66,9.99,-0.1,nao % 1100_4380/4230 tur:231 trab:1581
99,1534,724,180,35,2,43,42,244,2488.0,0.26,0.37,0.51,40831.01,5.24,1.76,nao % 1101_4143/4143 tur:226 trab:1618
116,117,45,8,0,0,3,2,5,113.0,0.05,0.22,0.76,39285.44,9.42,-0.83,nao % 1102_4258/4258 tur:220 trab:1872
92,10,0,0,0,0,0,0,0,36.0,0.89,0.36,0.41,10184.94,8.09,-0.64,sim % 1103_4382/4446 tur:224 trab:1771
55,1749,239,93,1,0,25,25,181,1078.0,0.1,0.29,0.38,11187.81,2.78,2.84,sim % 1104_4139/4157 tur:226 trab:1618
68,5,0,0,0,0,0,0,0,9.0,1.02,0.33,0.59,55451.15,4.82,0.56,sim % 1105_3048/3048 tur:221 trab:1653
85,1169,554,62,6,0,0,0,425,601.0,0.01,0.33,0.51,46637.05,7.1,-0.45,nao % 1105_4155/4102 tur:221 trab:1653
164,581,282,114,8,2,6,1,19,1078.0,0,0.3,0.59,78884.75,8.18,-1.79,nao % 1185_4001/4001 tur:225 trab:1708
57,231,165,12,3,0,1,0,4,181.0,0,0.3,0.36,19220.44,3.11,0.86,nao % 1185_4146/3094 tur:226 trab:1618
93,309,150,82,4,2,0,0,15,237.0,0,0.36,0.56,57234.13,4.71,1.7,nao % 1187_3994/4127 tur:226 trab:1618
70,201,25,48,0,0,9,9,58,356.0,1.53,0.36,0.44,70558.75,3.66,4.79,nao % 1189_4472/3396 tur:222 trab:1621
88,497,212,71,14,11,2,2,13,759.0,1.13,0.33,0.44,3041.6,7.87,-1.61,nao % 1273_4266/4266 tur:220 trab:1872
152,429,113,134,7,3,1,0,3,744.0,1.19,0.37,0.45,16571.89,6.14,3.44,sim % 1274_4113/4113 tur:221 trab:1653
100,1414,488,351,22,9,3,1,71,1920.0,1.14,0.37,0.46,49390.12,2.95,2.71,nao % 1276_4135/4135 tur:226 trab:1618
101,10,0,0,0,0,1,0,0,22.0,1.23,0.46,0.57,53936.34,8.57,0.34,sim % 1277_4109/3486 tur:221 trab:1653
65,54,7,7,0,0,0,0,0,81.0,0.66,0.28,0.43,5764.46,3.1,1.55,nao % 1570_4443/1508 tur:220 trab:1597
235,198,117,32,5,1,0,0,2,301.0,0,0.25,0.74,32618.07,2.32,7.38,nao % 1571_2343/2343 tur:220 trab:1872
60,181,59,18,8,5,13,13,45,188.0,0,0.25,0.18,86765.15,1.24,2.6,sim % 1571_4059/4182 tur:223 trab:1667
61,842,176,266,49,19,16,16,122,842.0,0.58,0.25,0.12,6257.0,0.84,1.67,nao % 1571_4086/4086 tur:230 trab:1576
164,544,254,48,0,0,0,0,29,1193.0,0.3,0.35,0.66,83773.55,9.07,-1.23,nao % 1576_4171/4469 tur:225 trab:1708
114,2495,622,566,5,3,2,2,969,1864.0,1.11,0.35,0.31,22171.15,0.79,5.89,sim % 1576_4483/4202 tur:231 trab:1581
86,212,135,10,1,0,5,0,2,300.0,0,0.38,0.4,4001.92,2.51,4.09,sim % 1583_4000/4414 tur:225 trab:1708
64,163,96,10,0,0,1,0,10,235.0,0,0.27,0.37,144337.65,6.2,-0.63,sim % 1800_3994/3858 tur:223 trab:1667
189,263,174,24,2,0,1,0,20,124.0,0,0.27,0.71,34878.03,8.99,-0.22,nao % 1800_4058/4033 tur:230 trab:1576
62,305,144,108,2,0,0,0,1,478.0,0,0.27,0.44,24478.14,1.58,6.86,nao % 1800_4198/4240 tur:231 trab:1581
93,266,126,54,0,0,9,6,17,546.0,0,0.26,0.45,39225.06,5.73,4.47,nao % 1801_4110/4106 tur:221 trab:1653
169,3720,1156,773,90,118,0,0,621,4983.0,0.28,0.25,0.59,75794.1,8.18,-1.11,nao % 1802_3995/3995 tur:225 trab:1708
85,628,307,117,5,0,1,1,121,622.0,0,0.3,0.51,46637.05,7.1,-0.45,nao % 1879_4102/4102 tur:221 trab:1653
152,10,0,2,0,0,0,0,0,19.0,1.26,0.3,0.45,16571.89,6.14,3.44,sim % 1879_4113/4113 tur:221 trab:1653
158,11,0,0,0,0,1,0,0,8.0,1.38,0.33,0.5,173440.53,7.78,2.91,sim % 1880_4174/4173 tur:223 trab:1667
235,659,177,113,19,0,12,12,126,1092.0,0.25,0.11,0.74,32618.07,2.32,7.38,nao % 1932_3979/2343 tur:220 trab:1872
116,1077,564,236,9,4,2,1,0,1179.0,0.08,0.11,0.62,70992.65,6.81,-0.05,nao % 1932_4469/4138 tur:226 trab:1618
131,631,368,34,0,0,5,4,163,414.0,0,0.17,0.48,55030.87,1.86,4.73,sim % 1950_4044/4031 tur:230 trab:1576
96,585,323,148,2,0,0,0,44,531.0,0.28,0.17,0.71,87159.6,8.48,-0.0,nao % 1950_4443/4161 tur:226 trab:1618
116,419,206,14,11,0,2,0,91,479.0,0.15,0.21,0.76,39285.44,9.42,-0.83,nao % 2131_4258/4258 tur:220 trab:1872
39,185,124,8,0,0,1,0,0,161.0,0,0.28,0.1,6420.79,1.58,2.78,sim % 2138_4368/4368 tur:224 trab:1773
68,83,5,0,1,1,3,2,47,114.0,1.23,0.19,0.59,55451.15,4.82,0.56,nao % 2185_3979/3048 tur:221 trab:1653
107,1572,686,184,24,7,7,7,371,2473.0,0.15,0.15,0.49,64805.86,8.39,-0.09,nao % 2195_4108/4108 tur:221 trab:1653
168,518,239,138,4,6,2,1,52,263.0,3.1,0.29,0.59,209223.46,9.09,-0.89,nao % 2220_4175/4175 tur:223 trab:1667
225,10524,1790,241,217,67,32,30,5489,11639.0,1.07,0.04,0.57,183054.83,6.04,2.18,nao % 2222_4443/4187 tur:223 trab:1667
7,76,35,6,2,0,0,0,6,60.0,4.31,0.26,0.03,11385.89,6.04,0,nao % 2425_3777/3777 tur:225 trab:1592
9,534,287,69,6,3,3,3,58,588.0,0.48,0.26,0.05,14546.71,0.02,5.83,nao % 2425_4267/4036 tur:230 trab:1576
57,365,158,74,5,3,1,0,0,773.0,0,0.18,0.22,13353.89,3.14,2.95,nao % 2426_4127/4385 tur:224 trab:1771
76,138,74,2,0,0,2,0,8,211.0,0,0.18,0.27,47744.69,4.33,-0.28,sim % 2426_4432/4432 tur:224 trab:1771
31,49,14,0,0,0,1,1,27,118.0,0,0.31,0.16,12209.59,2.35,-2.52,sim % 2442_3059/3059 tur:221 trab:1653
151,565,312,112,2,0,0,0,12,422.0,0.05,0.31,0.5,8273.42,9.43,-0.19,nao % 2443_3486/3546 tur:220 trab:1872
75,572,279,120,2,0,4,3,9,1013.0,1.42,0.31,0.17,18499.79,2.72,1.02,nao % 2443_4027/4358 tur:224 trab:1771
39,338,231,24,0,0,1,0,0,482.0,0.11,0.31,0.1,6420.79,1.58,2.78,sim % 2443_4347/4368 tur:224 trab:1773
25,555,226,185,0,1,15,15,53,667.0,0.24,0.27,0.11,3464.47,0.69,4.58,nao % 2445_4308/4308 tur:225 trab:1616
96,485,250,144,5,0,0,0,49,231.0,0,0.32,0.71,87159.6,8.48,-0.0,nao % 2447_3994/4161 tur:226 trab:1618
101,465,187,33,10,1,2,2,124,473.0,0.09,0.21,0.39,144000.74,8.48,-0.96,sim % 2449_4191/4191 tur:223 trab:1667
