id_user;computador_pessoal;gosto_jogos;frequencia_jogos;gosto_jogos_aventura;gosto_jogos_luta_acao;gosto_jogos_rpg;gosto_jogos_puzzle;gosto_jogos_esporte;ja_jogou_rpg_eletronico;ja_jogou_rpg_mesa;sexo;ano_nascimento;estado_civil;filhos
1060;1;1;1;1;1;1;1;1;1;1;2;2022;2;2
1062;2;1;1;1;1;1;1;1;1;2;1;2020;1;2
1150;3;2;2;2;5;2;2;5;1;1;1;1998;1;2
1159;3;3;2;1;1;1;3;5;2;1;1;1998;1;2
1162;1;3;4;3;4;5;4;5;4;4;2;1996;1;2
1168;1;4;4;3;4;5;2;4;4;4;2;1990;1;2
1177;3;5;5;5;5;5;5;5;5;5;2;1997;1;2
1182;1;5;5;5;5;5;5;5;4;4;2;1998;1;2
1185;1;1;4;1;1;1;1;1;2;2;1;1998;1;2
1191;1;1;2;1;1;1;1;5;1;1;2;1996;1;2
1216;1;2;3;5;2;1;4;1;2;4;1;1996;1;2
1226;3;5;5;4;4;4;4;4;4;4;2;1995;1;2
1234;1;2;3;2;2;2;3;2;2;4;1;1998;1;2
1240;1;4;4;2;5;5;2;5;4;1;2;1996;5;2
1247;1;1;1;1;2;3;3;1;1;4;1;1997;1;2
1274;1;1;2;1;2;1;3;2;1;4;1;1996;1;2
1294;1;3;4;4;1;3;3;1;2;4;1;1996;1;2
1297;1;5;5;3;3;3;2;3;4;4;2;1997;1;2
1331;1;2;1;1;2;2;1;3;4;4;2;1996;1;2
1338;1;2;4;2;2;2;2;2;2;3;1;1995;1;1
1373;1;2;4;2;2;2;2;2;2;3;1;1997;5;2
1384;1;1;3;1;3;2;1;1;3;4;2;1995;1;2
1460;1;3;3;2;1;2;2;4;3;4;1;1996;1;2
1509;1;4;5;4;4;4;4;4;5;5;2;1998;1;2
1551;1;1;3;2;2;1;2;1;1;4;1;1997;1;2
1607;1;2;5;2;3;4;3;5;5;5;2;1995;1;2
1634;1;5;5;5;5;5;5;5;4;4;2;1994;1;2
1701;1;2;3;2;2;5;1;4;4;4;2;1995;1;2
1703;1;5;5;5;5;5;4;5;4;4;2;1988;4;2
1790;1;2;3;3;2;2;4;1;2;4;1;1997;1;2
1911;1;2;3;2;1;2;2;1;3;3;1;1992;1;2
1920;1;2;1;1;3;1;2;4;1;2;1;1999;1;2
1969;2;5;5;5;5;5;5;5;4;4;1;1995;1;2
2006;2;1;2;1;1;2;4;2;1;2;1;1998;1;2
2038;1;2;2;2;2;3;3;3;4;4;2;1996;2;2
2068;1;2;4;1;2;1;2;2;1;3;1;1997;1;2
2132;1;1;5;1;1;4;4;1;2;4;1;1989;2;2
2139;1;4;4;4;4;4;4;4;5;4;2;1998;1;2
2143;1;1;3;1;1;2;3;1;1;1;1;1998;1;2
2177;1;1;1;1;1;2;2;2;1;2;1;1998;1;2
2228;1;1;1;1;1;1;1;5;1;1;1;1995;1;2
2285;3;4;4;2;2;5;5;2;4;4;2;1999;1;2
2345;1;5;5;5;5;5;5;5;4;4;2;1995;2;1
2357;1;1;1;1;1;1;1;1;2;3;1;1989;2;1
2370;1;1;2;1;1;1;1;2;1;4;1;1996;1;2
2372;1;1;3;1;5;3;1;1;4;2;1;1998;1;2
2377;1;2;2;2;2;1;3;5;2;2;1;1995;1;2
2417;1;4;4;5;4;4;1;5;3;4;2;1995;1;2
2418;1;1;3;2;2;2;2;2;2;4;1;1995;1;2
2441;1;3;4;3;3;4;2;3;4;4;1;1996;1;2
2443;1;1;1;1;2;1;1;2;1;1;1;1998;1;2
2470;1;2;4;2;1;3;3;4;4;4;1;1998;1;2
2479;1;1;1;1;1;1;1;1;1;4;1;1999;1;2
2504;1;2;3;2;3;2;1;2;2;3;1;1998;1;2
2514;1;2;2;3;2;2;3;1;2;4;1;1997;1;1
2531;1;4;4;5;5;5;5;4;4;4;2;1998;1;2
2549;1;2;1;2;2;3;2;3;2;4;2;1986;5;2
2558;1;1;2;1;1;2;2;3;2;1;1;1996;1;2
2566;1;1;2;2;2;2;2;3;2;2;2;1999;1;2
2618;1;5;5;5;5;5;5;5;3;2;2;1995;1;2
2761;1;2;3;2;2;2;2;5;1;4;1;2001;1;2
2831;1;4;5;4;4;4;4;4;4;4;2;1999;1;2
2841;1;1;1;1;1;1;1;1;1;1;1;2022;1;1
2865;1;5;5;4;5;5;5;5;5;5;2;1999;1;2
2870;1;3;4;2;2;2;2;1;5;4;1;1992;1;2
2896;1;1;1;1;2;1;2;3;1;1;1;1999;1;2
2911;1;1;4;1;1;3;2;2;2;3;1;1998;1;2
2925;1;5;4;5;5;5;5;5;5;5;1;2020;1;2
2927;1;4;4;1;1;3;1;4;4;4;2;1994;1;2
2950;1;1;1;1;3;1;3;5;1;2;1;1988;1;1
2968;1;1;1;1;5;1;1;1;1;1;2;1997;1;2
2993;1;1;4;2;1;1;5;1;1;5;1;1998;2;2
3029;1;1;1;1;2;2;1;3;1;4;1;1997;1;2
3047;3;2;4;1;1;5;5;5;4;4;1;2021;5;2
3080;1;5;5;5;5;5;2;4;4;4;2;1999;1;2
3090;1;2;4;2;4;1;2;3;3;5;1;2000;1;2
3091;1;2;1;2;2;4;2;2;4;4;1;1999;1;2
3101;1;4;4;4;1;5;5;5;4;4;2;1997;1;2
3102;1;1;1;1;1;1;3;3;1;2;1;2000;1;2
3105;1;5;4;5;5;5;5;5;5;5;1;1999;1;2
3112;1;1;1;2;2;1;1;5;1;4;1;1999;1;2
3142;1;1;2;2;3;5;5;1;3;3;1;2001;1;2
3143;1;1;1;3;1;2;4;3;2;4;1;2000;1;2
3144;2;4;4;5;5;5;5;5;5;5;1;1999;4;2
3161;1;5;5;5;5;5;3;5;5;5;2;2000;5;2
3169;2;2;2;2;2;2;2;3;2;4;1;2000;1;2
3174;1;5;5;5;5;5;5;1;5;5;1;2000;1;2
3201;1;5;5;5;5;5;5;5;4;4;2;1999;1;2
3210;1;2;2;2;3;2;2;2;2;4;1;2000;1;2
3212;3;3;4;2;2;3;1;4;2;4;2;1997;1;2
3217;1;1;1;3;3;1;1;4;1;2;2;2000;1;2
3218;1;2;4;1;1;1;3;3;2;2;2;2000;1;2
3229;1;4;4;3;2;5;4;1;3;4;1;1999;1;2
3234;1;5;5;4;4;4;3;4;4;1;2;1998;1;2
