id,titulo,qtd_exercicios,peso
17,Laboratório de Codificação 0 – Primeiros passos com o Python,5,1
18,Laboratório 0 – Primeiros passos com o Python,7,1
19,Laboratório 1 – Variáveis e Estrutura Sequencial de Programação,3,1
20,Exercícios sobre variáveis e operações,7,1
21,Laboratório 0 – Primeiros passos com o Python,7,1
22,Laboratório 0 – Primeiros passos com o Python,7,1
23,Laboratório 0 – Primeiros passos com o Python,7,1
25,Primeiro Trabalho - 27/05/2016 (C),2,1
26,Exercícios sobre variáveis e operações,5,1
27,Laboratório 0 – Primeiros passos com o Python,7,1
28,Laboratório 0 – Primeiros passos com o Python,7,1
29,Primeiro Trabalho - 31/05/2016,1,1
30,Segundo Trabalho - 02/06/2016,1,1
31,Terceiro Trabalho - 07/06/2016,1,1
32,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
34,Segundo Trabalho - 03/06/2016 (C),2,1
35,Avaliação 01 - Variáveis e Estrutura Sequencial de Programação,2,1
36,Laboratório 0 – Primeiros passos com o Python,7,1
37,Primeiros Passos em Python,4,1
38,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
39,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
40,Avaliação 01 - Variáveis e Estrutura Sequencial,2,1
41,Avaliação 01 - Variáveis e Estrutura Sequencial,2,1
42,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
43,Avaliação 01 - Variáveis e Estrutura Sequencial de Programação,2,1
44,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
45,Avaliação 01 - Variáveis e Estrutura Sequencial de Programação,2,1
46,Laboratório 0 – Primeiros passos com o Python,7,1
47,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
48,Avaliação 01 - Variáveis e Estrutura Sequencial,2,1
49,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
50,Quarto Trabalho - 09/06/2016,1,1
51,Laboratório 0 – Primeiros passos com o Python,7,1
52,Laboratório 1 - Variáveis, entrada e saída de dados, estrutura sequencial,10,1
53,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
54,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
55,Terceiro Trabalho - 10/06/2016 (C),1,1
56,BONUS1 - 10/06/2016,5,1
57,Sexto Trabalho - 16/06/2016,2,1
58,Quinto Trabalho - 14/06/2016,1,1
